id_aluno,ano_referencia,regiao,uf,zona,porte_municipio,populacao_municipio,sexo,idade_meses,renda_per_capita,idh_municipio,taxa_pobreza,beneficiario_bolsa_familia,inse_escola,infraestrutura_escola,professores_formacao_adequada_pct,razao_aluno_professor,taxa_frequencia_creche_pre,meta_estadual_alfabetizacao,municipio_atingiu_meta_anterior,frequencia_escolar_pct,alfabetizado
18,2022,Sudeste,ES,Urbana,Pequeno,14253,M,84,843.83,0.693,22.07,0,4.83,7.14,69.61,20.93,79.43,61.53,1,70.53,0
19,2023,Sudeste,RJ,Urbana,Pequeno,2722,M,85,1358.4,0.71,13.8,0,3.52,5.03,68.23,24.61,95.47,64.59,0,93.0,1
20,2022,Sudeste,ES,Urbana,Médio,123034,M,87,1350.17,0.683,8.69,0,4.9,8.03,79.35,20.88,70.78,81.26,0,90.48,1
21,2024,Centro-Oeste,DF,Urbana,Pequeno,5917,F,88,846.7,0.8,33.1,1,5.47,5.45,66.33,22.64,71.9,68.55,1,88.25,0
22,2024,Sudeste,MG,Urbana,Pequeno,11347,M,95,1173.12,0.744,29.18,0,4.96,7.04,68.97,25.14,31.53,69.82,1,100.0,0
23,2023,Sul,SC,Urbana,Médio,45930,M,103,925.67,0.706,20.56,0,5.66,7.3,62.67,25.09,93.07,66.4,1,87.47,1
24,2022,Nordeste,PI,Urbana,Grande,7658683,M,89,939.37,0.624,38.68,0,3.76,3.11,54.01,23.59,52.27,67.23,1,78.73,0
25,2024,Sudeste,RJ,Rural,Médio,41629,F,94,,0.651,19.93,1,5.36,5.21,87.1,24.36,61.63,68.24,0,77.61,0
26,2024,Sudeste,MG,Urbana,Grande,3559824,M,107,946.56,0.64,26.22,1,3.89,5.1,77.13,27.84,42.5,72.75,1,85.81,0
27,2023,Sudeste,RJ,Urbana,Médio,136970,M,84,863.1,0.666,24.83,1,5.84,3.83,81.67,17.26,68.73,64.38,1,78.94,0
28,2022,Sudeste,SP,Urbana,Pequeno,15673,M,105,1360.66,0.642,1.2,0,8.36,5.75,44.55,20.16,59.35,70.55,0,93.4,1
29,2023,Nordeste,PE,Rural,Médio,152245,F,94,821.1,0.633,44.28,0,6.7,3.98,75.21,23.88,39.86,69.39,0,73.26,1
30,2024,Sul,PR,Urbana,Médio,126334,M,99,821.53,0.621,27.94,0,8.11,6.93,78.82,20.83,78.45,74.38,1,85.52,0
31,2022,Sudeste,ES,Urbana,Grande,1415431,F,94,824.4,0.565,12.79,0,5.06,8.03,69.92,17.28,63.47,76.75,1,,0
32,2024,Sudeste,SP,Urbana,Pequeno,9382,M,102,,0.698,29.52,0,3.5,4.98,95.52,22.53,78.31,65.8,1,89.67,1
33,2022,Norte,PA,Urbana,Pequeno,3991,M,107,504.84,0.54,31.04,1,6.81,6.35,60.22,19.13,54.96,66.75,1,100.0,0
34,2022,Centro-Oeste,GO,Urbana,Pequeno,17513,F,92,940.91,0.651,14.01,0,,8.1,74.43,27.3,60.97,71.26,1,,1
35,2024,Nordeste,RN,Rural,Pequeno,18151,M,98,742.24,0.611,19.5,0,5.17,2.96,64.56,26.58,74.57,73.63,0,78.13,0
36,2024,Centro-Oeste,DF,Urbana,Pequeno,2633,M,96,794.01,0.646,26.74,0,5.34,6.47,53.51,19.98,86.63,64.44,1,88.43,0
37,2023,Sudeste,RJ,Rural,Grande,9617549,M,97,938.43,0.79,35.2,0,7.59,6.41,99.91,21.03,66.86,73.33,1,83.54,1
38,2023,Nordeste,MA,Urbana,Médio,81105,F,106,534.5,0.569,29.03,1,3.87,6.89,46.27,20.97,44.97,68.27,0,92.59,0
39,2022,Sudeste,RJ,Rural,Grande,11791926,F,94,727.01,0.638,22.81,0,4.78,2.61,48.04,18.07,54.46,69.46,0,97.59,0
40,2022,Sudeste,ES,Urbana,Grande,2948326,M,105,700.75,0.708,11.89,0,5.78,7.19,64.27,25.35,85.34,78.68,1,74.15,0
41,2022,Sudeste,RJ,Urbana,Pequeno,11535,F,84,1021.5,0.731,29.82,1,5.67,7.24,56.34,21.05,81.43,75.83,1,93.13,0
42,2024,Sudeste,ES,Urbana,Pequeno,16917,M,92,841.97,0.786,16.63,0,5.3,6.97,97.85,21.92,46.46,70.95,0,87.15,0
43,2024,Centro-Oeste,GO,Urbana,Médio,149521,M,101,816.92,0.599,27.8,1,3.21,6.4,81.63,23.4,72.13,63.23,1,93.03,1
44,2022,Centro-Oeste,MS,Urbana,Médio,111608,M,105,1125.94,0.68,18.42,0,5.81,6.06,75.7,24.58,54.0,74.03,0,99.74,1
45,2022,Nordeste,PB,Urbana,Médio,184590,F,97,882.46,0.693,12.64,1,2.08,5.69,66.33,26.78,76.88,69.51,1,82.58,0
46,2022,Sudeste,RJ,Urbana,Médio,80140,M,89,885.58,0.737,12.85,1,3.81,6.05,75.24,31.18,39.71,78.86,1,90.15,0
47,2024,Nordeste,MA,Urbana,Médio,44174,F,99,760.66,0.644,20.58,0,2.79,4.27,69.8,27.88,100.0,65.57,1,85.59,1
48,2023,Nordeste,AL,Urbana,Médio,110137,M,100,825.09,0.617,39.31,0,5.29,7.1,85.03,27.12,66.55,71.49,1,92.41,0
49,2023,Sudeste,SP,Rural,Pequeno,10842,F,92,1303.42,0.682,23.32,0,5.84,6.36,62.35,20.46,61.18,70.15,1,87.25,1
50,2024,Sudeste,RJ,Urbana,Médio,110752,M,102,1449.7,0.565,4.49,0,5.32,7.4,80.7,19.86,82.84,76.65,0,91.38,0
51,2023,Sul,SC,Urbana,Médio,190384,M,90,623.17,0.641,14.36,1,7.41,5.68,67.55,16.9,29.4,70.67,0,76.2,1
52,2022,Sudeste,MG,Urbana,Pequeno,2169,F,105,1111.34,0.741,19.37,0,6.51,5.98,84.85,29.14,99.79,65.36,1,80.73,0
53,2022,Nordeste,MA,Urbana,Pequeno,8493,M,86,1001.69,0.627,28.01,1,1.52,3.57,39.24,13.6,33.98,75.12,1,90.09,0
54,2023,Sudeste,MG,Urbana,Grande,6463927,M,95,448.79,0.709,23.12,0,5.33,7.22,82.87,27.61,87.49,66.49,0,97.56,1
55,2022,Sudeste,ES,Urbana,Médio,83076,M,96,862.88,0.75,20.19,0,4.72,7.86,75.06,24.58,56.45,71.25,0,94.5,1
56,2022,Sudeste,ES,Urbana,Pequeno,18842,F,97,965.49,0.776,3.14,0,6.26,6.45,77.36,16.09,64.08,81.52,1,85.69,0
57,2023,Sudeste,ES,Urbana,Grande,4618674,M,89,383.46,0.741,26.53,0,2.32,4.87,92.09,10.29,58.24,65.6,1,,0
58,2022,Nordeste,PB,Urbana,Pequeno,16229,F,84,1021.87,0.674,16.79,0,5.59,2.82,50.28,26.11,60.36,70.56,1,92.06,1
59,2022,Sudeste,RJ,Rural,Pequeno,19883,F,100,1248.98,0.697,18.48,1,3.75,6.89,100.0,23.26,57.73,68.96,1,86.18,1
60,2023,Nordeste,SE,Rural,Médio,169403,M,107,881.21,0.56,29.31,1,5.37,5.91,70.77,28.49,77.57,54.16,1,72.78,0
61,2023,Sul,RS,Urbana,Pequeno,13019,M,92,1465.58,0.736,19.79,1,3.56,8.07,68.14,20.68,54.9,68.35,1,94.21,0
62,2024,Nordeste,SE,Urbana,Pequeno,9328,M,106,787.01,0.643,27.82,0,6.38,5.91,52.73,25.9,72.08,71.77,0,79.37,0
63,2024,Sul,PR,Urbana,Pequeno,10753,M,101,652.33,0.786,20.1,0,8.04,8.57,68.4,19.13,57.89,73.8,1,100.0,1
64,2024,Sul,RS,Urbana,Pequeno,13323,F,96,678.4,0.618,9.83,0,5.38,7.99,72.8,12.46,60.32,70.44,0,85.87,0
65,2024,Sudeste,ES,Urbana,Pequeno,5153,M,94,1064.69,0.667,20.32,0,4.01,5.83,57.04,22.69,43.8,75.06,0,84.2,1
66,2024,Nordeste,PB,Urbana,Pequeno,2259,M,91,280.63,0.555,31.18,1,,5.17,37.38,17.53,6.01,67.33,1,95.43,0
67,2022,Sudeste,ES,Rural,Pequeno,11938,M,107,1207.31,0.603,13.06,1,4.99,7.62,77.15,20.98,89.05,70.32,0,93.61,0
68,2024,Sudeste,ES,Urbana,Pequeno,6061,M,90,921.99,0.712,13.97,1,4.17,5.41,56.15,22.05,77.63,63.56,0,91.93,0
69,2024,Sul,RS,Urbana,Pequeno,2695,M,87,824.23,0.693,8.28,0,6.38,4.82,66.17,15.95,38.37,70.38,1,92.62,0
70,2023,Sudeste,SP,Urbana,Pequeno,9263,M,90,1068.82,0.691,17.43,0,5.0,6.3,74.78,18.69,74.08,86.07,1,83.12,0
71,2024,Sudeste,SP,Urbana,Pequeno,17270,M,85,715.03,0.654,21.67,0,5.64,7.99,47.12,25.3,64.65,70.48,1,69.89,0
72,2022,Sudeste,RJ,Rural,Pequeno,15937,F,100,960.89,0.61,23.61,1,6.2,6.55,100.0,17.0,62.65,80.49,1,90.99,0
73,2024,Sul,RS,Urbana,Pequeno,7423,F,104,1091.13,0.656,19.01,0,4.02,5.49,91.43,18.94,75.27,68.56,0,95.98,0
74,2024,Nordeste,AL,Urbana,Médio,64225,M,89,830.91,0.588,25.55,0,1.91,6.0,94.94,20.79,60.18,73.62,1,68.59,0
75,2023,Nordeste,AL,Urbana,Pequeno,5044,M,106,614.32,0.771,38.52,0,3.57,4.85,67.5,22.75,53.86,68.35,1,82.67,0
76,2023,Nordeste,PE,Rural,Pequeno,19152,F,104,635.75,0.675,25.57,0,3.77,4.71,56.55,20.34,75.29,71.64,1,78.55,1
77,2023,Sudeste,SP,Urbana,Pequeno,9362,F,86,1722.39,0.677,21.08,0,7.35,8.04,78.05,16.01,68.29,65.89,1,89.96,0
78,2024,Nordeste,PI,Urbana,Pequeno,12567,F,94,704.81,0.545,26.89,0,4.52,4.79,59.75,22.44,63.46,66.98,0,71.43,0
79,2022,Nordeste,PB,Urbana,Pequeno,7164,M,89,946.09,0.712,33.37,1,2.17,6.79,84.73,25.18,39.67,71.87,0,79.79,0
80,2023,Sudeste,MG,Urbana,Pequeno,14214,F,92,873.17,0.705,27.53,1,3.73,3.3,74.09,16.93,57.58,74.81,0,86.81,0
81,2022,Nordeste,PI,Urbana,Pequeno,12918,M,107,1036.02,0.673,30.76,0,5.51,5.08,69.93,26.09,45.39,65.42,1,72.17,1
82,2022,Sudeste,RJ,Urbana,Pequeno,11786,F,98,1069.91,0.61,24.84,0,4.36,4.65,41.26,20.33,54.03,63.74,0,80.59,0
83,2022,Sul,SC,Urbana,Grande,10889646,M,100,804.89,0.731,25.66,1,6.68,1.73,63.76,25.6,58.04,63.92,0,73.63,0
84,2022,Nordeste,MA,Urbana,Pequeno,12676,F,101,442.48,0.752,29.23,1,3.89,4.44,47.28,22.98,33.4,57.6,0,80.78,0
85,2022,Nordeste,BA,Urbana,Médio,26350,F,89,479.33,0.639,24.81,1,3.93,5.23,62.86,19.66,64.23,69.69,0,93.17,1
86,2022,Nordeste,RN,Urbana,Pequeno,8044,F,93,639.89,0.658,27.48,0,4.35,5.94,54.89,19.37,31.02,70.45,1,94.52,0
87,2024,Sul,RS,Urbana,Pequeno,2762,F,107,648.8,0.767,20.5,0,6.68,7.24,54.03,28.61,75.61,71.2,1,88.78,0
88,2022,Sudeste,RJ,Rural,Pequeno,4320,F,104,1071.35,0.675,30.97,0,6.09,5.76,75.31,24.35,56.17,76.48,1,96.58,0
89,2022,Sudeste,RJ,Rural,Pequeno,5848,F,95,713.82,0.774,43.36,1,5.36,7.23,66.21,14.16,53.65,66.04,1,91.38,1
90,2024,Nordeste,SE,Urbana,Pequeno,15670,F,90,794.12,0.579,29.22,0,2.11,4.27,72.51,24.15,34.73,69.29,1,86.04,0
91,2024,Sul,PR,Urbana,Médio,157581,F,92,798.87,0.592,33.6,1,3.19,5.23,84.58,20.38,54.53,78.25,1,90.69,0
92,2024,Sul,SC,Urbana,Grande,9132277,F,91,1011.05,0.651,21.79,0,5.48,9.61,65.14,23.19,82.98,71.74,1,91.59,0
93,2024,Sudeste,RJ,Rural,Pequeno,6742,F,90,840.13,0.662,12.96,1,4.86,6.55,72.65,24.33,49.26,66.12,1,91.86,1
94,2022,Sudeste,ES,Rural,Pequeno,15875,M,86,1723.16,0.601,14.59,0,4.28,4.74,69.11,16.53,70.53,71.76,1,94.02,0
95,2024,Sudeste,RJ,Urbana,Pequeno,17772,M,100,1157.25,0.748,13.05,0,5.34,6.62,45.76,20.68,64.75,70.42,0,87.79,0
96,2024,Norte,AP,Urbana,Médio,197608,M,95,1204.58,0.6,30.36,1,4.53,4.61,43.52,23.07,40.92,68.68,1,88.47,0
97,2024,Nordeste,SE,Urbana,Pequeno,8102,F,98,770.23,0.651,22.28,0,6.18,4.43,45.49,26.37,64.36,65.4,1,86.36,0
98,2022,Nordeste,MA,Urbana,Pequeno,7270,M,105,185.68,0.609,30.61,0,5.27,6.82,75.53,21.74,22.27,66.22,0,91.85,0
99,2023,Sudeste,RJ,Urbana,Pequeno,10963,M,84,1089.24,0.732,23.4,1,8.03,7.82,49.89,23.19,85.05,77.51,0,96.62,1
100,2023,Nordeste,AL,Urbana,Pequeno,7130,F,95,783.34,0.733,31.59,1,5.04,7.69,67.24,24.58,62.09,67.06,0,84.64,0
101,2023,Nordeste,AL,Urbana,Pequeno,17697,M,92,,0.563,31.59,0,4.11,5.77,100.0,25.94,74.39,72.72,1,70.36,1
102,2022,Sudeste,SP,Urbana,Médio,155553,F,105,723.7,0.573,21.7,0,6.75,8.72,97.15,17.41,58.16,73.9,1,98.16,1
103,2024,Sudeste,ES,Rural,Médio,39086,F,93,845.24,0.707,19.81,1,6.25,4.06,65.84,24.14,53.45,63.46,1,88.84,0
104,2022,Norte,RR,Urbana,Médio,125334,F,99,1005.05,0.669,24.67,0,5.34,4.28,41.09,23.86,48.37,56.39,1,99.21,0
105,2022,Nordeste,PB,Rural,Médio,86592,F,104,1167.47,0.63,30.31,0,7.23,4.77,66.15,29.89,28.1,73.64,1,84.86,0
106,2023,Sul,PR,Rural,Pequeno,19846,M,89,1204.84,0.856,18.24,0,6.17,7.53,64.97,19.89,73.49,67.11,1,96.97,0
107,2024,Nordeste,BA,Urbana,Pequeno,6080,M,96,1110.63,0.696,29.63,1,4.18,6.13,75.16,18.97,56.16,58.34,1,84.56,1
108,2022,Sudeste,MG,Urbana,Pequeno,16946,M,96,1019.44,0.753,14.89,0,,8.0,100.0,20.91,25.03,68.76,1,91.19,0
109,2024,Sudeste,MG,Urbana,Pequeno,12871,M,87,1074.05,0.752,21.49,0,5.31,8.51,81.93,14.55,60.63,80.41,0,87.49,1
110,2022,Nordeste,MA,Urbana,Pequeno,17384,F,105,736.26,0.719,22.58,0,5.44,6.59,73.6,24.23,49.73,72.44,1,84.3,0
111,2024,Sudeste,MG,Urbana,Pequeno,10871,F,92,1229.89,0.79,32.42,1,5.36,8.35,98.84,25.93,47.55,72.51,1,92.95,0
112,2023,Centro-Oeste,MS,Urbana,Pequeno,6489,F,88,1162.0,0.679,26.97,1,6.24,6.18,91.75,23.14,71.99,66.08,1,93.9,0
113,2023,Nordeste,PB,Rural,Pequeno,6063,M,91,1074.74,0.602,21.56,1,5.69,3.64,41.38,25.89,44.65,66.54,1,86.74,0
114,2024,Nordeste,AL,Urbana,Pequeno,16105,M,89,575.8,0.653,30.22,1,4.63,5.65,83.5,27.43,49.57,67.43,1,91.51,0
115,2024,Nordeste,MA,Urbana,Grande,3117627,F,94,305.55,0.733,22.89,0,4.0,6.04,52.14,21.88,63.6,63.46,0,75.37,1
116,2023,Sudeste,RJ,Urbana,Pequeno,12681,M,88,1111.37,0.798,24.57,0,5.84,8.21,70.28,25.38,52.08,64.07,0,87.28,0
117,2022,Sudeste,ES,Urbana,Médio,122075,M,91,,0.652,27.36,0,6.3,8.14,76.76,20.7,71.71,57.19,0,88.79,0
118,2023,Nordeste,CE,Urbana,Pequeno,3665,F,92,346.35,0.667,24.82,0,3.61,5.39,94.02,17.54,34.45,61.99,1,86.59,1
119,2022,Norte,AC,Urbana,Pequeno,12725,M,86,1050.02,0.715,26.49,0,5.55,6.17,59.9,16.22,56.8,73.65,0,89.25,0
120,2022,Nordeste,PI,Urbana,Médio,59951,M,94,972.47,0.714,34.11,1,4.5,5.0,100.0,24.82,47.15,70.83,0,81.51,0
121,2023,Centro-Oeste,MT,Urbana,Pequeno,9763,F,104,723.55,0.653,33.05,1,,6.9,66.74,24.19,49.17,68.95,0,80.34,1
122,2022,Nordeste,CE,Urbana,Pequeno,4594,F,96,781.8,0.624,17.8,0,5.6,6.9,43.29,23.8,67.67,63.34,0,100.0,0
123,2024,Nordeste,AL,Urbana,Pequeno,13215,M,87,837.67,0.728,30.1,1,6.02,6.51,77.38,19.94,36.69,65.66,1,94.61,0
124,2022,Norte,TO,Urbana,Médio,30798,M,98,,0.605,54.73,1,3.14,6.35,88.74,22.96,65.05,59.03,0,71.44,0
125,2024,Nordeste,PB,Urbana,Médio,23784,F,105,779.52,0.674,33.59,0,4.22,5.14,54.14,24.29,53.81,65.18,1,94.63,0
126,2022,Sudeste,SP,Urbana,Pequeno,6702,F,96,720.22,0.737,16.62,0,5.3,3.01,78.96,29.18,92.87,80.65,0,83.42,0
127,2024,Sudeste,ES,Urbana,Médio,43900,M,102,1237.42,0.775,28.95,0,2.01,3.71,94.92,19.79,50.99,79.71,0,86.85,0
128,2022,Nordeste,SE,Urbana,Pequeno,9172,F,101,247.96,0.595,33.75,0,4.92,8.57,47.36,22.49,60.98,64.82,0,,0
129,2022,Centro-Oeste,GO,Urbana,Pequeno,18637,M,95,583.86,0.637,23.25,1,7.81,5.93,93.78,21.12,65.42,63.64,1,89.88,1
130,2022,Centro-Oeste,DF,Urbana,Pequeno,13722,F,101,1124.86,0.664,34.24,1,7.41,3.74,66.62,20.05,25.22,75.55,0,100.0,1
131,2024,Sudeste,MG,Rural,Grande,11009488,M,90,508.82,0.63,32.51,0,4.39,6.1,73.8,24.34,40.05,67.3,1,93.77,1
132,2024,Sudeste,RJ,Urbana,Pequeno,10554,M,87,896.94,0.716,17.51,0,5.93,7.69,94.95,25.38,47.68,66.98,0,80.09,0
133,2024,Sudeste,MG,Urbana,Médio,26948,M,87,1084.12,0.73,37.11,0,6.33,6.67,50.03,24.48,87.32,67.21,0,79.13,1
134,2022,Nordeste,SE,Rural,Grande,845912,F,101,1089.54,0.616,37.0,0,,3.94,86.33,19.97,91.74,71.46,1,93.05,1
135,2024,Sudeste,ES,Urbana,Pequeno,5127,F,97,1214.88,0.721,26.49,0,5.12,5.12,54.87,22.73,67.84,74.94,0,93.65,0
136,2024,Norte,RO,Urbana,Pequeno,19658,F,92,1026.42,0.684,46.03,0,8.29,5.24,69.63,21.11,61.45,72.43,1,88.51,0
137,2024,Centro-Oeste,GO,Urbana,Pequeno,4018,F,91,907.11,0.717,28.69,0,4.28,6.57,57.46,19.42,44.23,64.31,1,96.01,1
138,2024,Norte,AC,Urbana,Pequeno,16577,M,97,932.52,0.57,22.4,0,4.22,3.54,44.47,19.41,56.3,62.35,0,76.19,0
139,2022,Sudeste,SP,Urbana,Médio,105412,F,97,1100.11,0.765,16.11,0,5.23,7.42,58.22,25.47,72.89,64.92,1,97.21,1
140,2022,Nordeste,SE,Urbana,Grande,4160082,M,85,416.81,0.629,41.58,0,,4.91,74.59,26.99,68.84,73.05,1,79.98,0
141,2022,Sudeste,SP,Urbana,Médio,179730,F,88,668.71,0.762,17.54,0,4.52,8.83,60.45,20.05,66.43,66.04,1,85.28,0
142,2022,Sudeste,MG,Urbana,Pequeno,11457,F,84,1260.27,0.577,14.37,0,7.39,7.51,65.24,26.62,51.17,76.55,1,85.95,0
143,2022,Norte,TO,Urbana,Pequeno,17392,M,106,797.89,0.685,46.74,1,5.82,10.0,73.54,24.64,67.42,63.21,1,91.78,1
144,2022,Sul,RS,Urbana,Pequeno,3377,M,99,1194.71,0.755,23.52,1,5.33,5.29,69.08,21.58,63.13,61.82,1,86.75,0
145,2024,Norte,AM,Rural,Pequeno,17305,F,101,824.16,0.663,34.56,0,4.73,6.21,78.19,19.48,48.54,54.73,0,,0
146,2022,Norte,PA,Urbana,Grande,444112,F,100,791.17,0.637,17.96,0,3.95,5.57,56.68,25.2,49.72,63.42,1,,0
147,2024,Sudeste,SP,Urbana,Pequeno,13154,M,92,821.08,0.641,25.17,0,4.22,5.97,45.73,19.42,71.68,75.62,0,77.07,0
148,2023,Sudeste,SP,Urbana,Pequeno,19223,F,98,1052.35,0.683,11.65,0,5.44,7.78,75.65,26.31,64.64,70.92,1,100.0,1
149,2022,Sul,PR,Rural,Médio,184953,M,93,,0.661,22.05,0,,9.27,73.7,21.76,57.03,76.78,0,96.83,0
150,2023,Nordeste,AL,Urbana,Pequeno,6155,F,105,973.05,0.662,18.2,0,3.04,6.38,97.36,28.05,21.37,75.61,1,84.37,0
151,2023,Sudeste,MG,Urbana,Grande,2376462,F,98,1263.69,0.783,27.49,0,6.18,6.76,74.94,20.45,42.68,66.72,0,100.0,0
152,2022,Sudeste,RJ,Rural,Médio,90280,F,95,974.69,0.731,24.87,0,5.91,4.27,64.22,25.7,70.92,69.98,0,,1
153,2024,Nordeste,CE,Urbana,Pequeno,6064,M,93,751.96,0.75,28.01,0,5.12,6.35,46.36,26.35,49.47,72.82,1,89.62,1
154,2022,Sudeste,ES,Urbana,Médio,31126,F,103,593.98,0.76,18.48,0,5.79,7.23,61.2,24.27,66.54,65.22,0,100.0,1
155,2022,Norte,AC,Urbana,Grande,876030,M,104,285.52,0.672,31.74,1,3.04,6.55,96.62,23.01,53.64,69.8,0,88.23,0
156,2023,Norte,PA,Urbana,Pequeno,19831,M,95,,0.71,49.59,1,,5.69,77.89,16.11,81.18,72.18,1,80.48,1
157,2024,Sudeste,ES,Urbana,Pequeno,14317,M,103,1102.07,0.666,13.43,1,5.22,9.39,74.29,17.7,86.58,74.65,1,83.98,0
158,2024,Sul,RS,Urbana,Médio,156245,F,106,931.5,0.611,32.63,0,6.89,6.38,94.44,22.53,79.11,74.85,0,87.14,1
159,2023,Nordeste,AL,Urbana,Pequeno,3527,M,94,504.86,0.552,30.59,0,5.33,6.49,37.41,17.16,91.02,63.26,0,87.44,0
160,2024,Sudeste,MG,Urbana,Pequeno,10994,M,85,998.6,0.588,9.92,1,,5.31,71.12,17.15,42.42,71.25,0,82.95,0
161,2024,Sudeste,RJ,Urbana,Pequeno,16010,M,105,824.55,0.652,26.65,0,5.85,6.78,74.29,24.19,81.33,76.06,0,91.03,0
162,2024,Sudeste,ES,Urbana,Pequeno,12034,M,101,851.76,0.676,7.8,1,3.25,7.31,100.0,19.93,34.5,76.0,0,86.94,0
163,2022,Sudeste,SP,Urbana,Médio,134764,F,94,,0.677,26.58,0,6.01,6.26,91.15,25.1,72.53,76.14,1,78.45,0
164,2023,Nordeste,RN,Urbana,Pequeno,4520,M,88,1117.92,0.765,19.77,0,4.75,8.31,59.01,20.69,83.38,66.63,1,85.43,1
165,2022,Sudeste,RJ,Urbana,Grande,7516954,M,96,812.06,0.714,19.71,0,5.62,5.9,65.7,20.42,85.18,67.84,1,100.0,1
166,2023,Sudeste,RJ,Urbana,Médio,97490,F,89,778.13,0.833,19.08,0,7.02,6.78,82.27,20.85,58.76,70.65,1,91.57,1
167,2022,Nordeste,MA,Urbana,Pequeno,3314,M,85,692.91,0.661,14.52,0,4.71,5.03,72.32,17.74,68.35,62.58,0,78.06,1
168,2023,Nordeste,PB,Urbana,Pequeno,9619,M,87,499.21,0.675,19.09,0,4.11,7.75,71.26,27.54,41.9,68.78,1,84.7,1
169,2022,Nordeste,PE,Rural,Grande,11759535,M,106,860.26,0.695,34.8,0,4.42,3.21,100.0,16.22,36.64,63.3,0,100.0,1
170,2023,Nordeste,RN,Urbana,Grande,5214504,F,97,946.46,0.657,36.61,0,2.99,3.49,55.07,18.37,69.09,70.26,1,88.47,0
171,2022,Sudeste,ES,Urbana,Pequeno,4232,M,94,1007.35,0.782,4.74,0,5.25,5.27,100.0,21.14,57.16,71.63,1,97.07,1
172,2022,Centro-Oeste,DF,Urbana,Grande,9084447,F,87,661.32,0.59,26.01,0,7.09,5.06,75.04,23.15,56.18,73.97,0,86.15,0
173,2022,Nordeste,CE,Urbana,Pequeno,15126,M,87,703.77,0.615,34.32,0,5.91,5.27,56.66,17.59,60.06,72.98,1,98.24,0
174,2024,Nordeste,SE,Urbana,Médio,184758,M,96,1157.18,0.714,26.93,0,4.93,6.18,46.05,16.43,39.53,63.68,1,85.45,0
175,2023,Sudeste,MG,Urbana,Médio,29011,F,96,,0.71,19.29,0,3.57,4.92,71.36,20.74,54.31,70.61,0,88.41,1
176,2023,Centro-Oeste,MS,Urbana,Médio,21138,F,105,1185.88,0.645,19.22,0,5.55,4.82,69.48,21.52,20.87,69.15,0,99.53,0
