id_aluno,ano,id_municipio,id_uf,rede,caderno,ctx_taxa_municipio,ctx_media_municipio,ctx_meta_municipio,ctx_distancia_meta_municipio,ctx_atingiu_meta_municipio,ctx_participacao_municipio,ctx_categoria_municipio,ctx_faixa_participacao_municipio,proficiencia,gap_proficiencia,label_alfabetizado,ctx_atlas_idhm,ctx_atlas_idhm_educacao,ctx_atlas_idhm_renda,ctx_atlas_idhm_longevidade,ctx_atlas_taxa_analfabetismo_15mais,ctx_atlas_taxa_frequencia_6a14,ctx_atlas_expectativa_anos_estudo,ctx_atlas_taxa_fundamental_incompleto,ctx_atlas_renda_per_capita,ctx_atlas_indice_gini,ctx_atlas_percentual_pobres,ctx_atlas_percentual_extremamente_pobres,ctx_atlas_percentual_vulneraveis_pobreza,ctx_atlas_percentual_domicilios_agua,ctx_atlas_percentual_domicilios_energia,ctx_atlas_taxa_densidade_domiciliar,ctx_nse_municipio,ctx_ponderador_nse_municipio,ctx_nse_municipio_proxy_2023,ctx_nse_uf,ctx_ponderador_nse_uf,ctx_nse_uf_proxy_2023
27,2024,2400901,24,Privada,B,84.24,887.53,67.38,-6.79,False,84.1,Acima,Alta,667.19,3.14,0,0.578,0.458,0.554,0.76,30.78,98.0,8.73,48.36,251.04,0.51,42.55,25.46,67.63,84.71,99.32,26.11,32.07,0.99,False,45.38,1.02,False
28,2025,3127800,31,Estadual,B,69.3,898.64,61.97,7.04,False,84.28,Muito abaixo,Baixa,584.98,-3.68,0,0.604,0.482,0.579,0.791,18.83,96.7,8.92,43.72,293.87,0.48,32.35,14.71,60.75,57.37,95.59,30.5,53.99,0.96,False,35.85,0.99,False
29,2024,2918605,29,Estadual,A,74.81,831.63,73.65,1.68,True,98.07,Próximo,Alta,587.97,84.34,1,0.602,0.493,0.6,0.736,25.07,98.39,8.31,42.78,334.07,0.46,24.82,13.43,51.09,86.57,99.4,15.52,58.57,0.99,False,51.74,0.97,False
30,2024,3143708,31,Municipal,B,55.85,693.29,75.48,4.7,False,71.78,Muito acima,Baixa,684.52,-1.3,0,0.597,0.422,0.622,0.809,23.49,96.44,7.1,46.92,382.62,0.48,21.5,6.22,50.72,84.57,97.25,14.76,64.26,1.01,False,43.24,1.04,False
31,2024,2306256,23,Estadual,A,80.42,806.3,69.38,-4.08,False,76.46,Muito abaixo,Baixa,715.74,-6.34,1,0.626,0.548,0.583,0.768,17.2,91.42,9.1,31.14,300.15,0.45,29.31,9.11,61.11,92.98,99.25,41.29,51.18,1.01,False,48.79,1.03,False
32,2023,2805703,28,Privada,B,51.13,811.62,61.53,-2.57,True,87.57,Muito abaixo,Alta,887.82,92.44,1,0.661,0.593,0.629,0.776,18.68,99.65,8.98,28.72,400.35,0.54,31.99,12.03,53.9,93.54,99.67,35.71,53.68,0.97,True,36.63,1.02,True
33,2023,1502707,15,Municipal,B,78.21,716.35,63.35,-1.9,False,75.86,Acima,Média,789.01,-9.88,0,0.64,0.54,0.631,0.77,14.32,95.72,9.31,32.69,405.29,0.54,27.91,11.78,50.74,89.89,88.52,30.76,45.41,0.97,True,35.39,1.05,True
34,2024,3142601,31,Privada,A,87.34,792.27,71.54,5.2,True,90.39,Próximo,Alta,810.68,-63.82,0,0.721,0.654,0.682,0.839,11.15,99.15,9.71,28.31,555.78,0.4,5.17,0.64,23.96,93.09,100.0,14.21,44.09,0.96,False,43.24,1.04,False
35,2025,3165008,31,Estadual,A,47.27,603.22,61.82,5.45,False,76.42,Acima,Alta,942.34,-56.62,0,0.662,0.533,0.66,0.825,8.16,96.99,9.52,40.98,486.69,0.44,10.99,1.14,34.9,94.4,99.71,11.15,37.05,0.98,False,35.85,0.99,False
36,2023,4302600,43,Privada,A,73.79,662.72,80.95,-5.86,False,72.97,Próximo,Baixa,685.33,-80.96,0,0.674,0.563,0.656,0.83,13.78,92.94,10.54,36.95,475.39,0.47,22.26,10.21,39.73,88.52,99.62,18.16,53.51,0.98,True,58.76,0.99,True
37,2025,2906006,29,Estadual,B,45.23,757.53,66.21,8.83,True,76.21,Muito abaixo,Baixa,681.51,-99.89,1,0.586,0.475,0.566,0.749,24.55,97.96,8.41,45.84,270.05,0.57,46.53,24.59,70.45,67.07,97.09,26.29,31.98,1.02,False,58.75,0.95,False
38,2025,2501906,25,Estadual,B,79.91,649.13,69.06,-7.59,True,82.68,Muito abaixo,Alta,915.51,-13.61,1,0.592,0.492,0.557,0.759,34.08,94.69,9.0,47.12,256.2,0.49,39.82,21.98,66.71,85.4,98.71,32.81,58.61,0.99,False,35.88,1.01,False
39,2023,2605806,26,Municipal,A,44.65,649.77,71.82,7.92,True,75.28,Muito acima,Alta,610.64,53.85,0,0.576,0.438,0.575,0.758,31.52,95.42,8.48,54.6,286.08,0.46,33.96,17.1,59.84,33.96,99.79,25.56,63.07,1.04,True,53.01,1.0,True
40,2024,3301900,33,Estadual,A,91.48,850.89,72.5,-7.99,False,74.04,Muito abaixo,Alta,828.42,46.69,0,0.693,0.593,0.69,0.813,6.56,97.09,8.65,25.95,584.35,0.48,10.21,3.31,30.69,88.73,99.85,32.77,49.94,0.96,False,53.27,0.96,False
41,2023,3525706,35,Municipal,B,47.56,896.74,60.05,-4.71,True,95.81,Acima,Média,839.56,-93.57,0,0.777,0.717,0.752,0.869,5.92,98.99,10.44,20.33,863.34,0.45,1.18,0.42,10.99,99.74,100.0,16.64,36.74,1.04,True,57.99,1.01,True
42,2025,3555703,35,Estadual,A,92.74,766.79,63.36,6.93,False,79.61,Próximo,Alta,544.0,14.0,1,0.749,0.699,0.697,0.863,12.11,96.99,11.47,29.79,610.77,0.35,1.82,0.77,16.92,97.05,100.0,13.38,39.03,1.0,False,42.41,1.01,False
43,2025,2111789,21,Municipal,A,84.05,851.72,85.88,-6.41,True,80.82,Muito abaixo,Alta,710.7,-69.14,1,0.519,0.433,0.44,0.735,32.56,95.62,8.89,47.69,123.44,0.59,71.98,48.68,88.02,76.9,86.66,50.06,48.36,1.01,False,49.45,0.98,False
44,2024,3155504,31,Estadual,A,72.65,897.1,60.04,-1.73,True,71.66,Acima,Média,590.25,88.22,0,0.709,0.575,0.725,0.855,8.74,98.7,9.73,41.26,727.2,0.5,6.3,2.02,23.05,89.35,99.45,10.03,49.94,0.99,False,43.24,1.04,False
45,2023,5206701,52,Estadual,B,83.04,642.48,75.25,-1.0,False,80.72,Acima,Alta,583.42,-66.53,0,0.654,0.558,0.614,0.815,19.52,100.0,9.97,36.83,364.51,0.55,32.41,14.2,55.6,79.89,97.47,14.04,44.38,0.97,True,42.54,0.97,True
46,2025,3117603,31,Municipal,B,83.73,734.47,74.69,-5.09,False,77.94,Acima,Baixa,708.72,25.33,0,0.7,0.588,0.687,0.85,9.27,98.22,8.12,29.71,576.48,0.42,4.69,1.04,22.79,94.47,99.4,13.56,38.97,0.96,False,35.85,0.99,False
47,2024,2109239,21,Privada,A,92.03,717.77,69.99,4.2,False,88.31,Muito abaixo,Baixa,630.24,-34.75,0,0.591,0.522,0.518,0.762,25.72,95.77,9.44,34.14,201.15,0.52,50.95,27.0,77.3,93.48,98.09,49.0,46.37,1.0,False,38.88,1.0,False
48,2025,3111150,31,Estadual,B,53.94,624.01,72.94,7.03,True,76.16,Acima,Baixa,858.23,28.31,0,0.621,0.546,0.55,0.799,21.54,98.15,10.23,35.09,244.97,0.48,38.16,21.32,69.07,68.82,98.68,25.85,54.83,0.97,False,35.85,0.99,False
49,2025,2919603,29,Privada,B,72.45,826.6,83.42,7.49,True,96.65,Acima,Alta,908.42,-17.55,0,0.524,0.358,0.515,0.78,27.76,97.59,7.25,65.04,197.25,0.55,54.31,33.81,78.56,63.93,85.33,31.82,34.79,0.98,False,58.75,0.95,False
50,2025,1505601,15,Municipal,A,45.23,730.13,85.24,-3.21,True,97.89,Acima,Baixa,861.22,51.93,0,0.581,0.478,0.543,0.754,22.16,95.48,8.65,45.68,234.4,0.55,47.64,28.09,71.19,90.31,91.9,39.98,56.89,1.0,False,43.2,0.95,False
51,2025,2918308,29,Municipal,B,73.89,740.8,67.81,0.62,False,72.99,Muito acima,Baixa,619.71,-53.86,0,0.575,0.479,0.563,0.704,29.72,96.72,8.74,45.44,266.56,0.51,42.15,18.16,68.99,74.03,94.14,30.03,62.31,1.02,False,58.75,0.95,False
52,2023,3149903,31,Estadual,B,49.42,645.2,69.67,-5.03,False,73.22,Acima,Alta,623.36,81.16,0,0.744,0.661,0.71,0.878,7.44,96.95,9.5,26.72,663.06,0.52,7.45,0.69,27.6,97.3,100.0,15.15,44.99,1.0,True,43.24,1.04,True
53,2024,3132602,31,Municipal,A,71.07,654.28,67.27,-5.1,True,73.46,Muito acima,Baixa,614.63,0.04,1,0.688,0.572,0.677,0.841,7.51,97.57,9.18,30.65,540.7,0.39,4.13,0.54,24.8,92.46,100.0,13.64,60.55,0.98,False,43.24,1.04,False
54,2024,2509602,25,Municipal,A,71.48,872.13,74.4,-6.77,False,88.59,Muito acima,Média,560.77,51.22,1,0.587,0.463,0.579,0.755,29.46,98.46,8.01,51.9,292.96,0.54,40.78,23.02,59.88,66.18,99.09,36.62,50.66,1.02,False,46.72,0.99,False
55,2024,5215306,52,Estadual,B,65.63,613.39,80.5,8.8,True,73.66,Próximo,Baixa,924.71,69.95,0,0.715,0.612,0.722,0.827,8.16,99.21,9.58,33.64,714.39,0.51,7.54,2.11,28.07,89.09,99.92,9.83,42.44,1.0,False,42.54,0.97,False
56,2023,2601300,26,Municipal,B,68.74,669.86,66.85,7.76,False,95.57,Muito acima,Média,680.92,99.77,0,0.577,0.474,0.558,0.726,34.84,93.64,8.87,49.02,257.4,0.51,41.45,17.45,68.73,95.85,98.95,41.2,56.78,1.04,True,53.01,1.0,True
57,2024,3127602,31,Privada,A,82.02,687.62,69.92,5.55,False,92.63,Próximo,Baixa,601.11,-55.21,1,0.681,0.609,0.622,0.833,8.49,98.45,10.3,29.38,382.78,0.45,20.51,5.92,49.18,91.85,98.7,22.2,35.29,1.04,False,43.24,1.04,False
58,2023,2205524,22,Municipal,B,83.96,747.06,87.91,0.35,False,94.59,Muito abaixo,Alta,881.0,-42.62,1,0.582,0.508,0.5,0.777,18.16,98.62,8.97,39.37,179.61,0.53,54.96,36.78,77.41,50.04,88.21,27.08,30.18,1.03,True,52.04,1.02,True
59,2025,4107520,41,Municipal,B,67.07,775.93,61.46,-0.19,True,85.78,Próximo,Média,679.64,-49.91,0,0.689,0.594,0.69,0.799,11.46,98.58,11.55,36.62,584.46,0.39,7.11,2.31,21.09,87.58,100.0,9.5,63.66,0.95,False,50.13,1.05,False
60,2025,1100940,11,Estadual,A,72.98,747.99,73.82,0.59,False,99.9,Acima,Alta,515.8,-47.43,1,0.612,0.439,0.663,0.789,11.94,94.4,8.01,48.36,495.31,0.52,19.56,9.04,40.1,94.18,91.47,33.65,36.43,0.97,False,35.77,1.04,False
61,2025,3204203,32,Privada,B,91.22,625.23,81.35,0.73,True,71.33,Muito acima,Alta,572.87,16.49,0,0.727,0.643,0.702,0.852,7.61,98.41,9.04,24.93,629.9,0.49,10.36,3.49,28.05,98.99,99.64,22.37,46.6,0.95,False,49.75,0.97,False
62,2025,2910776,29,Municipal,A,46.59,673.1,64.51,-1.31,False,82.04,Muito abaixo,Alta,787.66,98.7,0,0.588,0.505,0.527,0.763,22.41,97.5,9.15,43.46,212.22,0.54,50.82,33.78,73.81,66.42,80.71,22.51,46.04,0.97,False,58.75,0.95,False
63,2024,2610707,26,Municipal,B,46.44,853.08,61.42,-7.36,True,79.72,Muito abaixo,Média,852.31,98.06,1,0.732,0.703,0.673,0.83,6.13,97.87,9.83,15.54,528.04,0.49,14.83,5.25,37.58,97.84,99.97,24.64,55.4,0.97,False,53.01,1.0,False
64,2025,4102752,41,Privada,A,44.82,791.28,64.15,-7.49,False,98.46,Próximo,Alta,594.92,5.35,1,0.681,0.572,0.667,0.828,14.22,99.57,11.7,40.03,507.41,0.51,18.83,4.07,38.4,88.84,98.89,20.8,36.44,1.01,False,50.13,1.05,False
65,2024,3170578,31,Privada,A,76.18,794.74,87.56,9.04,True,87.31,Muito acima,Baixa,912.83,27.81,1,0.631,0.486,0.631,0.819,18.81,98.46,8.53,46.65,407.13,0.49,24.08,6.71,47.78,89.99,99.55,18.47,36.28,0.98,False,43.24,1.04,False
66,2023,2310100,23,Estadual,B,63.02,801.06,60.28,-0.36,True,94.19,Muito acima,Média,882.95,71.99,0,0.622,0.551,0.59,0.742,24.09,91.68,9.06,33.32,315.23,0.63,45.85,24.51,72.19,60.64,98.63,49.43,63.18,1.01,True,48.79,1.03,True
67,2025,3517109,35,Estadual,A,82.59,828.87,65.65,9.06,False,75.11,Acima,Baixa,881.77,86.59,1,0.735,0.63,0.735,0.858,8.85,98.45,10.97,26.43,777.37,0.52,5.82,0.13,19.21,99.44,100.0,18.08,62.33,1.04,False,42.41,1.01,False
68,2024,3132701,31,Estadual,B,76.92,617.43,60.94,-6.73,False,99.36,Muito acima,Baixa,602.45,-59.23,0,0.634,0.527,0.616,0.784,21.26,98.16,8.66,38.72,370.48,0.51,27.31,10.0,55.6,91.66,97.39,29.86,63.32,0.99,False,43.24,1.04,False
69,2023,5104203,51,Estadual,A,58.35,709.98,63.32,1.09,True,84.96,Muito abaixo,Alta,522.74,5.71,1,0.705,0.637,0.677,0.813,12.66,99.21,10.44,31.48,542.02,0.48,12.53,6.27,33.1,88.37,97.54,18.4,64.31,1.0,True,53.91,0.97,True
70,2024,3551801,35,Estadual,B,89.41,761.86,78.6,-5.85,False,84.81,Muito acima,Alta,890.34,66.57,0,0.673,0.562,0.651,0.832,10.48,96.14,8.45,33.37,459.28,0.5,20.09,4.12,46.06,89.1,98.39,35.77,48.24,1.04,False,57.99,1.01,False
71,2025,2603454,26,Municipal,B,81.94,701.54,67.25,-4.94,True,99.13,Acima,Média,637.61,-39.36,0,0.692,0.628,0.656,0.805,10.79,97.44,9.82,21.88,473.78,0.51,16.91,5.1,43.89,94.34,99.85,28.52,63.37,1.04,False,36.9,0.97,False
72,2023,4309753,43,Municipal,B,54.88,853.34,77.08,-9.4,True,81.42,Muito abaixo,Média,778.51,-12.04,1,0.652,0.511,0.686,0.792,6.69,97.72,10.19,43.63,572.6,0.43,13.26,4.72,30.84,93.66,99.26,10.46,44.93,1.04,True,58.76,0.99,True
73,2024,1500859,15,Municipal,A,60.03,744.77,77.71,-7.62,True,81.93,Muito abaixo,Alta,841.99,97.12,1,0.548,0.371,0.563,0.788,19.24,94.25,7.63,52.75,266.28,0.58,44.8,26.31,66.96,84.69,75.5,50.41,44.41,1.04,False,35.39,1.05,False
74,2023,4128104,41,Privada,A,57.29,830.59,85.48,8.34,True,87.54,Muito acima,Baixa,557.73,97.01,1,0.761,0.698,0.755,0.836,6.15,97.91,10.64,21.0,880.6,0.48,2.79,0.59,14.17,98.96,100.0,11.86,32.41,0.99,True,55.88,0.98,True
75,2025,2912905,29,Estadual,B,48.67,855.6,60.14,-3.57,True,73.84,Acima,Média,851.38,81.22,0,0.576,0.424,0.571,0.789,28.88,97.59,8.06,47.11,278.69,0.49,36.2,15.5,65.46,90.79,94.27,28.91,51.42,1.02,False,58.75,0.95,False
76,2024,2307809,23,Estadual,B,48.13,751.44,85.6,2.16,True,79.63,Próximo,Baixa,922.33,59.69,0,0.612,0.553,0.564,0.734,28.6,97.41,9.28,38.16,266.87,0.54,41.45,20.27,71.84,83.32,98.25,44.08,38.78,1.03,False,48.79,1.03,False
77,2023,4314209,43,Estadual,B,91.49,872.87,78.57,-0.7,True,75.8,Próximo,Alta,827.77,-46.17,1,0.678,0.551,0.683,0.829,8.71,95.81,11.35,32.41,560.06,0.48,12.94,6.63,33.32,95.1,99.89,17.03,53.68,1.02,True,58.76,0.99,True
78,2023,3506805,35,Privada,A,64.08,776.14,64.88,-1.99,True,73.1,Muito abaixo,Baixa,698.55,-35.83,1,0.742,0.656,0.741,0.84,6.37,99.27,10.44,21.23,805.99,0.42,1.31,0.03,10.52,99.31,100.0,23.17,52.04,1.05,True,57.99,1.01,True
79,2024,4216206,42,Municipal,B,61.08,855.08,83.19,0.64,True,95.98,Muito abaixo,Alta,894.51,9.46,0,0.762,0.699,0.74,0.856,3.64,98.49,10.43,16.99,801.49,0.45,5.63,0.75,17.5,96.74,99.22,18.9,41.64,0.99,False,37.29,1.05,False
80,2025,3547650,35,Municipal,A,80.13,702.18,85.66,-6.26,False,87.68,Muito abaixo,Média,737.36,12.16,1,0.772,0.748,0.712,0.864,6.01,100.0,10.38,27.69,673.2,0.35,2.85,0.65,10.94,88.91,100.0,5.15,54.29,0.99,False,42.41,1.01,False
81,2025,2502508,25,Municipal,A,70.41,749.65,67.63,9.77,False,80.76,Muito acima,Média,835.15,1.1,1,0.607,0.496,0.592,0.763,24.08,96.01,9.14,41.5,319.11,0.46,30.31,9.96,56.15,73.46,99.17,29.5,59.8,1.03,False,35.88,1.01,False
82,2024,2309607,23,Estadual,B,91.49,759.42,87.56,6.37,True,82.26,Muito acima,Baixa,869.23,27.33,0,0.659,0.596,0.609,0.788,18.26,98.21,9.91,27.93,354.78,0.47,24.7,7.96,52.87,80.04,99.42,30.51,59.41,0.96,False,48.79,1.03,False
83,2023,1703800,17,Privada,A,82.92,631.49,73.63,4.83,True,82.95,Próximo,Alta,837.21,-18.34,1,0.627,0.601,0.575,0.713,22.36,95.79,9.79,23.2,287.05,0.56,40.34,19.26,71.67,98.33,96.26,48.53,51.13,1.0,True,58.3,0.95,True
84,2025,2210938,22,Estadual,B,66.37,719.57,78.1,-0.62,False,88.99,Muito acima,Alta,629.53,49.83,1,0.586,0.476,0.563,0.749,30.36,93.71,8.43,43.82,265.42,0.46,33.3,14.29,66.09,97.74,99.11,29.1,40.64,0.99,False,43.08,1.01,False
85,2024,2400307,24,Estadual,A,60.7,875.2,89.54,-6.94,False,97.8,Acima,Média,553.03,-33.29,1,0.585,0.502,0.56,0.713,30.68,98.78,9.66,40.66,261.3,0.53,40.0,21.79,67.61,76.2,99.45,30.36,40.73,1.05,False,45.38,1.02,False
86,2025,4313375,43,Privada,A,94.26,789.25,70.85,8.41,False,97.98,Muito acima,Média,607.25,-33.86,1,0.718,0.606,0.716,0.853,4.54,97.49,9.53,25.85,686.87,0.43,5.51,1.86,17.99,96.56,99.86,19.88,61.45,1.02,False,41.34,0.97,False
87,2023,4106209,41,Municipal,A,79.48,653.25,84.39,-3.17,False,81.74,Muito abaixo,Alta,726.29,-74.55,0,0.681,0.555,0.697,0.816,5.06,99.62,10.19,34.79,612.8,0.47,9.93,2.17,28.85,97.61,99.18,22.08,52.23,0.97,True,55.88,0.98,True
88,2023,4312377,43,Estadual,B,92.32,701.66,69.55,-9.0,False,79.88,Muito acima,Alta,727.37,-62.26,1,0.65,0.501,0.667,0.822,10.93,98.68,10.28,42.92,508.71,0.55,20.56,10.72,41.79,57.79,98.35,12.98,32.17,0.99,True,58.76,0.99,True
89,2025,1712405,17,Estadual,B,46.52,657.48,83.98,-3.15,False,83.53,Muito acima,Alta,762.19,70.1,1,0.57,0.415,0.584,0.765,22.36,95.91,9.06,49.91,302.83,0.74,59.39,48.36,74.72,79.68,72.7,38.05,38.59,0.96,False,45.88,0.97,False
